New best SSIM (div): 0.0608 (kernel: 11, sigma: 2.50)
New best MSE (div): 0.3651 (kernel: 11, sigma: 2.50)
New best SSIM (sub): 0.1659 (kernel: 11, sigma: 2.50)
New best MSE (sub): 0.2579 (kernel: 11, sigma: 2.50)
New best SSIM (div): 0.0608 (kernel: 11, sigma: 2.60)
New best MSE (div): 0.3652 (kernel: 11, sigma: 2.60)
New best SSIM (sub): 0.1659 (kernel: 11, sigma: 2.60)
New best MSE (sub): 0.2578 (kernel: 11, sigma: 2.60)
New best SSIM (div): 0.0608 (kernel: 11, sigma: 2.70)
New best MSE (div): 0.3652 (kernel: 11, sigma: 2.70)
New best SSIM (sub): 0.1659 (kernel: 11, sigma: 2.70)
New best MSE (sub): 0.2578 (kernel: 11, sigma: 2.70)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 2.80)
New best MSE (div): 0.3652 (kernel: 11, sigma: 2.80)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 2.80)
New best MSE (sub): 0.2578 (kernel: 11, sigma: 2.80)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 2.90)
New best MSE (div): 0.3652 (kernel: 11, sigma: 2.90)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 2.90)
New best MSE (sub): 0.2577 (kernel: 11, sigma: 2.90)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.00)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.00)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 3.00)
New best MSE (sub): 0.2577 (kernel: 11, sigma: 3.00)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.10)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.10)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 3.10)
New best MSE (sub): 0.2577 (kernel: 11, sigma: 3.10)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.20)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.20)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 3.20)
New best MSE (sub): 0.2577 (kernel: 11, sigma: 3.20)
New best SSIM (div): 0.0607 (kernel: 11, sigma: 3.30)
New best MSE (div): 0.3652 (kernel: 11, sigma: 3.30)
New best SSIM (sub): 0.1660 (kernel: 11, sigma: 3.30)
